brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
81873.0,for_sale,753941.0,4.0,4.0,0.0,440570.0,Alpharetta,Georgia,30009.0,2372.0,2022-05-13 00:00:00
76439.0,for_sale,569559.0,3.0,4.0,0.0,1406342.0,Wilton Manors,Florida,33305.0,1702.0,N/A
94126.0,ready_to_build,375657.0,4.0,2.0,0.0,1823072.0,Ruskin,Florida,33570.0,1912.0,N/A
45962.0,for_sale,399900.0,3.0,3.0,0.15,1782853.0,Fuquay Varina,North Carolina,27526.0,2288.0,2014-05-15 00:00:00
83992.0,for_sale,975000.0,3.0,3.0,0.0,928962.0,Pine Knoll Shores,North Carolina,28512.0,2000.0,2013-08-08 00:00:00
28857.0,for_sale,400000.0,4.0,3.0,0.21,1493621.0,Marietta,Georgia,30066.0,2103.0,1996-01-09 00:00:00
55535.0,for_sale,299900.0,5.0,4.0,2.0,519307.0,Spencer,New York,14883.0,2964.0,N/A
94126.0,for_sale,304900.0,3.0,3.0,0.0,1152248.0,Cartersville,Georgia,30120.0,1421.0,N/A
23441.0,for_sale,195000.0,2.0,2.0,0.0,1551933.0,Silverton,Ohio,45236.0,1548.0,2021-04-19 00:00:00
53333.0,for_sale,115000.0,2.0,2.0,0.04,1540066.0,Lithonia,Georgia,30038.0,1280.0,2006-09-27 00:00:00
86229.0,for_sale,249900.0,3.0,3.0,0.47,269918.0,Poughkeepsie,New York,12603.0,2401.0,N/A
52743.0,for_sale,175000.0,3.0,2.0,0.16,1513768.0,Bellefontaine,Ohio,43311.0,1462.0,2021-11-23 00:00:00
53095.0,for_sale,799000.0,5.0,5.0,0.37,1445199.0,Alpharetta,Georgia,30005.0,4923.0,2012-03-22 00:00:00
87297.0,for_sale,384990.0,3.0,3.0,0.0,1691904.0,Jacksonville,Florida,32222.0,1876.0,N/A
24734.0,for_sale,39000.0,2.0,1.0,0.24,1002792.0,Macon,Georgia,31204.0,838.0,2013-07-11 00:00:00
60010.0,for_sale,861410.0,4.0,5.0,0.0,1062859.0,Prosper,Texas,75078.0,3482.0,N/A
38223.0,for_sale,269900.0,3.0,2.0,1.15,1616730.0,Caledonia,Ohio,43314.0,1614.0,2019-08-12 00:00:00
16829.0,for_sale,155000.0,3.0,2.0,0.03,1217623.0,Philadelphia,Pennsylvania,19127.0,1045.0,2021-05-24 00:00:00
109235.0,for_sale,324900.0,3.0,3.0,0.23,196923.0,Colonie,New York,12110.0,2061.0,N/A
84534.0,for_sale,420000.0,3.0,3.0,0.37,792835.0,Springboro,Ohio,45066.0,2301.0,2019-07-29 00:00:00
105695.0,for_sale,265990.0,4.0,2.0,0.2,893352.0,Defuniak Springs,Florida,32433.0,1776.0,N/A
10744.0,for_sale,899900.0,3.0,4.0,0.0,1084642.0,Sebring,Florida,33870.0,2672.0,2014-07-01 00:00:00
4947.0,for_sale,796825.0,5.0,4.0,0.33,96285.0,Irving,Texas,75019.0,3508.0,N/A
32781.0,for_sale,3200000.0,4.0,3.0,0.2,1243734.0,Marco Island,Florida,34145.0,3196.0,2021-03-12 00:00:00
89970.0,for_sale,90000.0,3.0,1.0,0.12,1143136.0,Bellwood,Illinois,60104.0,1073.0,1998-06-03 00:00:00
53116.0,for_sale,1350000.0,5.0,4.0,0.33,74208.0,Parkland,Florida,33076.0,4323.0,2016-01-28 00:00:00
78200.0,for_sale,143000.0,4.0,2.0,0.1,618737.0,Euclid,Ohio,44117.0,1270.0,2019-03-15 00:00:00
97693.0,for_sale,135000.0,2.0,1.0,0.13,1246004.0,Scotia,New York,12302.0,930.0,2018-07-19 00:00:00
75145.0,for_sale,359000.0,2.0,2.0,0.01,114635.0,Lake Harmony,Pennsylvania,18624.0,1096.0,N/A
16829.0,for_sale,2399000.0,6.0,4.0,0.25,1027356.0,Chattahoochee Hills,Georgia,30268.0,4365.0,N/A
48883.0,for_sale,256000.0,3.0,2.0,0.21,927349.0,Desoto,Texas,75115.0,1599.0,N/A
13960.0,for_sale,55000.0,3.0,2.0,0.32,350581.0,Gouldsboro,Pennsylvania,18424.0,1000.0,2008-04-04 00:00:00
72723.0,for_sale,144900.0,5.0,2.0,0.05,187149.0,Reading,Pennsylvania,19601.0,1954.0,N/A
93753.0,for_sale,259900.0,3.0,2.0,0.22,611167.0,Dunnellon,Florida,34431.0,1075.0,2020-07-17 00:00:00
96449.0,for_sale,749000.0,5.0,4.0,0.29,312728.0,Beech Mountain,North Carolina,28604.0,2337.0,2018-10-23 00:00:00
